program_type,taxon,common_name,genus_name,species_name,scientific_name,subspecies
SSP,Mammal,Aardvark,Orycteropus,afer,Orycteropus afer,
SSP,Mammal,Addax,Addax,nasomaculatus,Addax nasomaculatus,
SSP,Mammal,"Agouti, Brazilian",Dasyprocta,leporina,Dasyprocta leporina,
SSP,Reptile,"Alligator, Chinese",Alligator,sinensis,Alligator sinensis,
SSP,Mammal,"Anteater, Giant",Myrmecophaga,tridactyla,Myrmecophaga tridactyla,
SSP,Bird,"Aracari, Curl-Crested",Pteroglossus,beauharnaisii,Pteroglossus beauharnaisii,
SSP,Bird,"Aracari, Green",Pteroglossus,viridis,Pteroglossus viridis,
SSP,Bird,"Argus, Great",Argusianus,argus,Argusianus argus,
SSP,Mammal,"Armadillo, Screaming",Chaetophractus,vellerosus,Chaetophractus,vellerosus
SSP,Mammal,"Armadillo, Six-Banded",Euphractus,sexcinctus,Euphractus sexcinctus,
SSP,Mammal,"Armadillo, Southern Three-Banded",Tolypeutes,matacus,Tolypeutes matacus,
SSP,Mammal,"Baboon, Hamadryas",Papio,hamadryas,Papio hamadryas,
SSP,Bird,"Barbet, Red and Yellow",Trachyphonus,erythrocephalus,Trachyphonus erythrocephalus,
SSP,Mammal,"Bat, Egyptian Fruit",Rousettus,aegyptiacus,Rousettus aegyptiacus,
SSP,Mammal,"Bat, Rodrigues Fruit",Pteropus,rodricensis,Pteropus rodricensis,
SSP,Mammal,"Bat, Straw-Colored Fruit",Eidolon,helvum,Eidolon helvum,
SSP,Mammal,"Bear, Andean Spectacled",Tremarctos,ornatus,Tremarctos ornatus,
SSP,Mammal,"Bear, Sloth",Melursus,ursinus,Melursus ursinus,
SSP,Mammal,"Beaver, American",Castor,canadensis,Castor canadensis,
SSP,Mammal,Binturong,Arctictis,binturong,Arctictis binturong,
SSP,Bird,"Bird-of-Paradise, Raggiana",Paradisaea,raggiana,Paradisaea raggiana,
SSP,Reptile,"Boa, Jamaican",Chilabothrus,subflavus,Chilabothrus subflavus,
SSP,Mammal,"Bongo, Eastern",Tragelaphus,eurycerus,Tragelaphus eurycerus,isaaci
SSP,Bird,"Cacique, Yellow-Rumped",Cacicus,cela,Cacicus cela,
SSP,Mammal,Capybara,Hydrochoerus,hydrochaeris,Hydrochoerus hydrochaeris,
SSP,Bird,"Cardinal, Red-Capped",Paroaria,gularis,Paroaria gularis,
SSP,Bird,"Cassowary, Southern (Double-wattled)",Casuarius,casuarius,Casuarius casuarius,
SSP,Mammal,"Cat, Pallas",Otocolobus,manul,Otocolobus manul,
SSP,Mammal,"Cat, Sand",Felis,margarita,Felis margarita,
SSP,Mammal,Cheetah,Acinonyx,jubatus,Acinonyx jubatus,
SSP,Mammal,Chimpanzee,Pan,troglodytes,Pan troglodytes,
SSP,Reptile,"Chuckwalla, San Esteban",Sauromalus,varius,Sauromalus varius,
SSP,Reptile,"Cobra, King",Ophiophagus,hannah,Ophiophagus hannah,
SSP,Mammal,"Colobus, Angolan",Colobus,angolensis,Colobus angolensis,
SSP,Mammal,"Colobus, Guereza",Colobus,guereza,Colobus guereza,kikuyuensis
SSP,Bird,"Condor, Andean",Vultur,gryphus,Vultur gryphus,
SSP,Bird,"Coua, Crested",Coua,cristata,Coua cristata,
SSP,Bird,"Crane, Black Crowned",Balearica,pavonina,Balearica pavonina,
SSP,Bird,"Crane, Demoiselle",Anthropoides,virgo,Anthropoides virgo,
SSP,Bird,"Crane, Grey-Crowned",Balearica,regulorum,Balearica regulorum,
SSP,Bird,"Crane, Red-Crowned",Grus,japonensis,Grus japonensis,
SSP,Bird,"Crane, Wattled",Bugeranus,carunculatus,Bugeranus carunculatus,
SSP,Bird,"Crane, White-Naped",Grus,vipio,Grus vipio,
SSP,Bird,"Curassow, Blue-Billed",Crax,alberti,Crax alberti,
SSP,Bird,"Curassow, Helmeted",Pauxi,pauxi,Pauxi pauxi,
SSP,Mammal,"Deer, Western Tufted",Elaphodus,cephalophus,Elaphodus cephalophus,
SSP,Bird,"Dikkop, Spotted",Burhinus,capensis,Burhinus capensis,
SSP,Mammal,"Dog, African Painted",Lycaon,pictus,Lycaon pictus,
SSP,Bird,"Dove, Beautiful Fruit",Ptilinopus,pulchellus,Ptilinopus pulchellus,
SSP,Bird,"Dove, Black-Naped Fruit",Ptilinopus,melanospilus,Ptilinopus melanospilus,
SSP,Bird,"Dove, Luzon Bleeding Heart",Gallicolumba ,luzonica,Gallicolumba luzonica,
SSP,Bird,"Dove, Mindanao Bleeding Heart",Gallicolumba ,crinigera,Gallicolumba crinigera,
SSP,Reptile,"Dragon, Komodo",Varanus,komodoensis,Varanus komodoensis,
SSP,Bird,"Duck, Spotted Whistling",Dendrocygna,guttata,Dendrocygna guttata,
SSP,Bird,West Indian Whistling,Dendrocygna,arborea,Dendrocygna arborea,
SSP,Mammal,"Duiker, Blue",Philantomba,monticola,Philantomba monticola,
SSP,Mammal,"Duiker, Yellow-Backed",Cephalophus,silvicultor,Cephalophus silvicultor,
SSP,Mammal,"Elephant, African ",Loxodonta,africana,Loxodonta africana,
SSP,Mammal,"Elephant, Asian",Elephas,maximus,Elephas maximus,
SSP,Bird,"Flamingo, Caribbean",Phoenicopterus,ruber,Phoenicopterus ruber,ruber
SSP,Bird,"Flamingo, Chilean",Phoenicopterus,chilensis,Phoenicopterus chilensis,
SSP,Bird,"Flamingo, Greater",Phoenicopterus,roseus,Phoenicopterus roseus,
SSP,Bird,"Flamingo, Lesser",Phoeniconaias,minor,Phoeniconaias minor,
SSP,Mammal,Fossa,Cryptoprocta,ferox,Cryptoprocta ferox,
SSP,Mammal,"Fox, Bat-Eared",Otocyon,megalotis,Otocyon megalotis,
SSP,Mammal,"Fox, Fennec",Vulpes,zerda,Vulpes zerda,
SSP,Mammal,"Fox, Swift",Vulpes,velox,Vulpes velox,
SSP,Amphibian,"Frog, Panamanian Golden (Ahogado)",Atelopus,zeteki,Atelopus zeteki,
SSP,Amphibian,"Frog, Panamanian Golden (Sora)",Atelopus,zeteki,Atelopus zeteki,
SSP,Bird,"Frogmouth, Tawny",Podargus,strigoides,Podargus strigoides,
SSP,Mammal,"Galago, Southern Lesser",Galago,moholi,Galago moholi,
SSP,Mammal,"Gazelle, Addra",Nanger,dama,Nanger dama,
SSP,Reptile,"Gecko, Giant Leaf-Tailed",Uroplatus,fimbriatus,Uroplatus fimbriatus,
SSP,Reptile,"Gecko, Henkel's Leaf-Tailed",Uroplatus,henkeli,Uroplatus henkeli,
SSP,Reptile,"Gharial, Sunda",Tomistoma,schlegelii,Tomistoma schlegelii,
SSP,Mammal,"Gibbon, Lar (White-Handed)",Hylobates,lar,Hylobates lar,
SSP,Mammal,"Gibbon, White-Cheeked",Nomascus,leucogenys,Nomascus leucogenys,
SSP,Mammal,"Giraffe, Generic",Giraffa,camelopardalis,Giraffa camelopardalis,
SSP,Mammal,"Giraffe, Masai",Giraffa,camelopardalis,Giraffa camelopardalis,tippelskirchi
SSP,Bird,"Goose, African Pygmy",Nettapus,auritus,Nettapus auritus,
SSP,Bird,"Goose, Red-Breasted",Branta,ruficollis,Branta ruficollis,
SSP,Bird,"Goose, Swan",Anser,cygnoid,Anser cygnoid,
SSP,Mammal,"Gorilla, Western Lowland",Gorilla,gorilla,Gorilla gorilla,
SSP,Bird,"Guineafowl, Crested",Guttera,pucherani,Guttera pucherani,
SSP,Bird,Hamerkop,Scopus,umbretta,Scopus umbretta,
SSP,Bird,"Heron, Boat-Billed",Cochlearius,cochlearius,Cochlearius cochlearius,
SSP,Mammal,"Hippopotamus, Pygmy",Choeropsis,liberiensis,Choeropsis liberiensis,
SSP,Mammal,"Hippopotamus, River",Hippopotamus,amphibius,Hippopotamus amphibius,amphibius
SSP,Mammal,"Hog, Red River",Potamochoerus,porcus,Potamochoerus porcus,
SSP,Bird,"Honeyeater, Blue-Faced",Entomyzon,cyanotis,Entomyzon cyanotis,
SSP,Bird,"Hornbill, Abyssinian Ground",Bucorvus,abyssinicus,Bucorvus abyssinicus,
SSP,Bird,"Hornbill, Red-Billed",Tockus,erythrorhynchus,Tockus erythrorhynchus,
SSP,Bird,"Hornbill, Rhinoceros",Buceros,rhinoceros,Buceros rhinoceros,
SSP,Bird,"Hornbill, Southern Ground",Bucorvus,leadbeateri,Bucorvus leadbeateri,
SSP,Bird,"Hornbill, Trumpeter",Bycanistes,bucinator,Bycanistes bucinator,
SSP,Bird,"Hornbill, Wrinkled",Rhabdotorrhinus,corrugatus,Rhabdotorrhinus corrugatus,
SSP,Mammal,"Horse, Asian Wild",Equus,ferus,Equus ferus,przewalskii
SSP,Bird,"Hwamei, Chinese",Garrulax ,canorus,Garrulax canorus,
SSP,Mammal,"Hyena, Spotted",Crocuta,crocuta,Crocuta crocuta,
SSP,Mammal,"Hyrax, Rock",Procavia,capensis,Procavia capensis,
SSP,Bird,"Ibis, African Sacred",Threskiornis,aethiopicus,Threskiornis aethiopicus,
SSP,Bird,"Ibis, Hadada",Bostrychia,hagedash,Bostrychia hagedash,
SSP,Bird,"Ibis, Scarlet",Eudocimus,ruber,Eudocimus ruber,
SSP,Bird,"Ibis, Waldrapp",Geronticus,eremita,Geronticus eremita,
SSP,Reptile,"Iguana, Fiji Banded",Brachylophus,bulabula,Brachylophus bulabula,
SSP,Reptile,"Iguana, Grand Cayman Blue",Cyclura,lewisi,Cyclura lewisi,
SSP,Reptile,"Iguana, Jamaican",Cyclura,collei,Cyclura collei,
SSP,Mammal,Jaguar,Panthera,onca,Panthera onca,
SSP,Bird,"Jay, Plush Crested",Cyanocorax,chrysops,Cyanocorax chrysops,
SSP,Mammal,"Kangaroo, Red",Osphranter,rufus,Osphranter rufus,
SSP,Mammal,"Kangaroo, Western Gray",Macropus,fuliginosus,Macropus fuliginosus,melanops
SSP,Bird,"Kookaburra, Laughing",Dacelo,novaeguineae,Dacelo novaeguineae,
SSP,Mammal,"Kudu, Lesser",Tragelaphus,imberbis,Tragelaphus imberbis,
SSP,Mammal,"Langur, Francois'",Trachypithecus,francoisi,Trachypithecus francoisi,
SSP,Bird,"Lapwing, Masked",Vanellus,miles,Vanellus miles,
SSP,Bird ,"Lapwing, Spur-Winged",Vanellus,spinosus,Vanellus spinosus,
SSP,Bird,"Laughingthrush, White-Crested",Garrulax ,leucolophus,Garrulax leucolophus,
SSP,Bird,"Leiothrix, Red-Billed",Leiothrix,lutea,Leiothrix lutea,
SSP,Mammal,"Lemur, Black and White Ruffed",Varecia,variegata,Varecia variegata,
SSP,Mammal,"Lemur, Collared",Eulemur,collaris,Eulemur collaris,
SSP,Mammal,"Lemur, Mongoose",Eulemur,mongoz,Eulemur mongoz,
SSP,Mammal,"Lemur, Red Ruffed",Varecia,rubra,Varecia rubra,
SSP,Mammal,"Lemur, Ring-Tailed",Lemur,catta,Lemur catta,
SSP,Mammal,"Leopard, Clouded",Neofelis,nebulosa,Neofelis nebulosa,
SSP,Mammal,"Leopard, Snow",Panthera,uncia,Panthera uncia,
SSP,Bird,"Liocichla, Scarlet-faced",Liocichla,ripponi,Liocichla ripponi,
SSP,Mammal,Lion,Panthera,leo,Panthera leo,
SSP,Reptile,"Lizard, Beaded",Heloderma,horridum,Heloderma horridum,
SSP,Reptile,"Lizard, Caiman",Dracaena,guianensis,Dracaena guianensis,
SSP,Reptile,"Lizard, Crocodile",Shinisaurus,crocodilurus,Shinisaurus crocodilurus,
SSP,Mammal,"Loris, Pygmy",Nycticebus,pygmaeus,Nycticebus pygmaeus,
SSP,Mammal,"Lynx, Canada",Lynx,canadensis,Lynx canadensis,
SSP,Mammal,"Macaque, Japanese",Macaca,fuscata,Macaca fuscata,
SSP,Bird,"Macaw, Blue-Throated",Ara,glaucogularis,Ara glaucogularis,
SSP,Bird,"Macaw, Hyacinth",Anodorhynchus,hyacinthinus,Anodorhynchus hyacinthinus,
SSP,Bird,"Macaw, Red-Fronted",Ara,rubrogenys,Ara rubrogenys,
SSP,Bird,"Magpie, Azure-Winged",Cyanopica,cyanus,Cyanopica cyanus,
