taxon,common_name,genus_name,species_name,scientific_name,assessment,population_trend,assessment_scope
Mammal,Aardvark,Orycteropus,afer,Orycteropus afer,LC,Unknown,Global
Mammal,Addax,Addax,nasomaculatus,Addax nasomaculatus,CR,Decreasing,Global
Mammal,"Agouti, Brazilian",Dasyprocta,leporina,Dasyprocta leporina,LC,Stable,Global
Reptile,"Alligator, Chinese",Alligator,sinensis,Alligator sinensis,CR,Stable,Global
Mammal,"Anteater, Giant",Myrmecophaga,tridactyla,Myrmecophaga tridactyla,VU,Decreasing,Global
Bird,"Aracari, Curl-Crested",Pteroglossus,beauharnaisii,Pteroglossus beauharnaisii,LC,Decreasing,Global
Bird,"Aracari, Green",Pteroglossus,viridis,Pteroglossus viridis,LC ,Decreasing,Global
Bird,"Argus, Great",Argusianus,argus,Argusianus argus,VU,Decreasing,Global
Mammal,"Armadillo, Screaming",Chaetophractus,vellerosus,Chaetophractus,LC,Stable,Global
Mammal,"Armadillo, Six-Banded",Euphractus,sexcinctus,Euphractus sexcinctus,LC,Stable,Global
Mammal,"Armadillo, Southern Three-Banded",Tolypeutes,matacus,Tolypeutes matacus,NT,Decreasing,Global
Mammal,"Baboon, Hamadryas",Papio,hamadryas,Papio hamadryas,LC,Increasing,Global
Bird,"Barbet, Red and Yellow",Trachyphonus,erythrocephalus,Trachyphonus erythrocephalus,LC,Stable,Global
Mammal,"Bat, Egyptian Fruit",Rousettus,aegyptiacus,Rousettus aegyptiacus,LC,Stable,Global
Mammal,"Bat, Rodrigues Fruit",Pteropus,rodricensis,Pteropus rodricensis,EN,Increasing,Global
Mammal,"Bat, Straw-Colored Fruit",Eidolon,helvum,Eidolon helvum,NT ,Decreasing,Global
Mammal,"Bear, Andean Spectacled",Tremarctos,ornatus,Tremarctos ornatus,VU,Decreasing,Global
Mammal,"Bear, Sloth",Melursus,ursinus,Melursus ursinus,VU,Decreasing,Global
Mammal,"Beaver, American",Castor,canadensis,Castor canadensis,LC,Stable,Global
Mammal,Binturong,Arctictis,binturong,Arctictis binturong,VU,Decreasing,Global
Bird,"Bird-of-Paradise, Raggiana",Paradisaea,raggiana,Paradisaea raggiana,LC,Decreasing,Global
Reptile,"Boa, Jamaican",Chilabothrus,subflavus,Chilabothrus subflavus,VU,Decreasing,Global
Mammal,"Bongo, Eastern",Tragelaphus,eurycerus,Tragelaphus eurycerus,NT,Decreasing,Global
Bird,"Cacique, Yellow-Rumped",Cacicus,cela,Cacicus cela,LC,Decreasing,Global
Mammal,Capybara,Hydrochoerus,hydrochaeris,Hydrochoerus hydrochaeris,LC,Stable,Global
Bird,"Cardinal, Red-Capped",Paroaria,gularis,Paroaria gularis,LC,Stable,Global
